GVKEY,permno,fyear,EXECID,grantdate,X,M,T,r,sigma,d,security,ret,retlag,val_lag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo,time
1380,28484,2007,2132,2007-02-28 00:00:00,,,10,0.04018179,0.300816373,0.010642589,1,0.09411009599999999,0.326946905,8.64866037344824,14.477219668604805,9.89931033007791,6.329711452002076,0.94749021,1.33495993,10.01703943,0.126118237,0.182631441,15
24720,77117,2007,25323,2007-05-31 00:00:00,,,10,0.04018179,0.23341428600000003,0.007097867,0,-0.171503586,-0.354302175,,,,,,1.327580537,6.32343201,0.16919878300000002,0.09435654199999999,15
24720,77117,2007,25323,2007-05-31 00:00:00,,,10,0.04018179,0.23341428600000003,0.007097867,1,-0.171503586,-0.354302175,,,,,,1.327580537,6.32343201,0.16919878300000002,0.09435654199999999,15
10867,48725,2007,20835,2007-01-31 00:00:00,,,10,0.04018179,0.19897737899999998,0.015147853000000001,0,0.087836162,0.43212494700000004,8.976785308481043,10.506104986989286,6.406064959636047,5.602666260306283,0.663231192,1.261515198,10.5055058,0.147185796,0.08085345299999999,15
5764,32942,2007,16720,2007-12-31 00:00:00,,,10,0.04018179,0.207629968,0.027515098999999998,1,0.092432905,-0.045391659,7.176517956797912,9.670351776684972,5.758835804193443,5.705397600304942,0.775408138,1.973535473,7.468798619,0.063703345,0.083923215,15
5764,32942,2007,16720,2007-12-31 00:00:00,,,10,0.04018179,0.207629968,0.027515098999999998,0,0.092432905,-0.045391659,0.0,9.670351776684972,5.758835804193443,5.705397600304942,0.775408138,1.973535473,7.468798619,0.063703345,0.083923215,15
16650,76148,2007,16872,2007-01-31 00:00:00,,,10,0.04018179,0.476312114,0.0,0,0.723592461,0.790184564,,,,,,3.072170837,6.469115424,0.0070093640000000006,0.166758013,15
16650,76148,2007,16872,2007-01-31 00:00:00,,,10,0.04018179,0.476312114,0.0,1,0.723592461,0.790184564,,,,,,3.072170837,6.469115424,0.0070093640000000006,0.166758013,15
5860,12570,2007,26006,2007-03-31 00:00:00,,,10,0.04018179,0.143423339,0.007570731,1,0.021613478999999998,0.19856623899999998,7.175746909314746,10.234996598592673,6.052466010381344,4.628384646161453,0.0,2.01402007,8.913415718,0.073335178,0.121881813,15
5568,23077,2007,3847,2007-08-31 00:00:00,,,10,0.036139047,0.128388706,0.029417241,0,0.027093107999999998,0.11335109300000001,6.685809759740832,11.196565857530821,7.491088865855495,6.846448784043055,0.800952838,2.327356541,9.213737196,0.209070423,0.11253083,15
